"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitude"	"GPS Distance"	"GPS Lateral Acceleration"	"Longitudinal Acceleration"	"Latitude"	"GPS Longitudinal Acceleration"	"Lateral Acceleration"	"GPS Speed"
2021-05-22	08:32:58	0	12000000000	12000000000	-112.386789	406.548782	-0.963409	0.826009	40.582333	0.111404	-0.923468	106.319737
2021-05-22	08:32:58	0	12100000000	12100000000	-112.386786	409.507489	-0.959170	0.826833	40.582306	0.108759	-0.956470	106.719740
2021-05-22	08:32:58	0	12200000000	12200000000	-112.386782	412.477441	-0.959298	0.844941	40.582280	0.104266	-0.994756	107.115739
2021-05-22	08:32:58	0	12300000000	12300000000	-112.386776	415.458145	-0.962637	0.858751	40.582253	0.097867	-1.013517	107.511725
2021-05-22	08:32:58	0	12400000000	12400000000	-112.386770	418.448577	-0.969750	0.854550	40.582226	0.090908	-1.001528	107.811734
2021-05-22	08:32:58	0	12500000000	12500000000	-112.386763	421.447532	-0.979361	0.847920	40.582200	0.085274	-0.971722	108.111729
2021-05-22	08:32:58	0	12600000000	12600000000	-112.386754	424.454820	-0.990119	0.851660	40.582173	0.082189	-0.961914	108.411737
2021-05-22	08:32:58	0	12700000000	12700000000	-112.386744	427.470441	-0.998939	0.853143	40.582147	0.081628	-0.995025	108.711733
2021-05-22	08:32:58	0	12800000000	12800000000	-112.386733	430.494396	-1.005185	0.844682	40.582121	0.082980	-1.046747	109.011728
2021-05-22	08:32:58	0	12900000000	12900000000	-112.386722	433.526685	-1.008219	0.841890	40.582095	0.086166	-1.062831	109.311735
2021-05-22	08:32:58	0	13000000000	13000000000	-112.386709	436.567318	-1.007428	0.846207	40.582069	0.089327	-1.024367	109.611731
2021-05-22	08:32:58	0	13100000000	13100000000	-112.386694	439.616582	-1.002942	0.838665	40.582044	0.091826	-0.983416	109.915728
2021-05-22	08:32:58	0	13200000000	13200000000	-112.386679	442.675246	-0.997767	0.827555	40.582018	0.093049	-0.990176	110.311729
2021-05-22	08:32:58	0	13300000000	13300000000	-112.386663	445.743457	-0.990756	0.836503	40.581993	0.092998	-1.026268	110.611725
2021-05-22	08:32:58	0	13400000000	13400000000	-112.386646	448.820201	-0.983746	0.854537	40.581969	0.091698	-1.048186	110.911720
2021-05-22	08:32:58	0	13500000000	13500000000	-112.386627	451.905577	-0.976760	0.860795	40.581944	0.089786	-1.034927	111.215729
2021-05-22	08:32:58	0	13600000000	13600000000	-112.386608	455.000337	-0.970336	0.861810	40.581921	0.087925	-0.991291	111.611717
2021-05-22	08:32:58	0	13700000000	13700000000	-112.386588	458.104330	-0.962765	0.861893	40.581897	0.087352	-0.952657	111.905734
2021-05-22	08:32:58	0	13800000000	13800000000	-112.386566	461.216033	-0.955098	0.847836	40.581874	0.088645	-0.956537	112.111713
2021-05-22	08:32:58	0	13900000000	13900000000	-112.386544	464.335904	-0.946755	0.827223	40.581851	0.090634	-0.991605	112.508720
2021-05-22	08:32:58	0	14000000000	14000000000	-112.386521	467.465150	-0.936482	0.829311	40.581829	0.095114	-1.006635	112.808728
2021-05-22	08:32:58	0	14100000000	14100000000	-112.386497	470.603218	-0.923621	0.852456	40.581807	0.100232	-0.977999	113.111718
2021-05-22	08:32:58	0	14200000000	14200000000	-112.386472	473.750984	-0.906897	0.861466	40.581786	0.105968	-0.935567	113.511721
2021-05-22	08:32:58	0	14300000000	14300000000	-112.386446	476.909669	-0.884999	0.846610	40.581765	0.111685	-0.911179	113.911723
2021-05-22	08:32:58	0	14400000000	14400000000	-112.386419	480.079466	-0.855376	0.833379	40.581745	0.116802	-0.891445	114.311713
2021-05-22	08:32:58	0	14500000000	14500000000	-112.386392	483.260382	-0.815499	0.832587	40.581725	0.122519	-0.844397	114.711715
2021-05-22	08:32:58	0	14600000000	14600000000	-112.386364	486.452700	-0.763551	0.827819	40.581705	0.127599	-0.767738	115.114725
2021-05-22	08:32:58	0	14700000000	14700000000	-112.386335	489.657203	-0.700806	0.809562	40.581686	0.132002	-0.686310	115.611714
2021-05-22	08:32:58	0	14800000000	14800000000	-112.386305	492.874330	-0.628521	0.788167	40.581667	0.134475	-0.612487	116.014725
2021-05-22	08:32:58	0	14900000000	14900000000	-112.386276	496.103833	-0.547428	0.773217	40.581649	0.134341	-0.534707	116.511713
2021-05-22	08:32:58	0	15000000000	15000000000	-112.386245	499.345956	-0.461523	0.762381	40.581631	0.129785	-0.448035	116.914722
2021-05-22	08:32:58	0	15100000000	15100000000	-112.386215	502.600691	-0.380928	0.751338	40.581613	0.122162	-0.365366	117.409710
2021-05-22	08:32:58	0	15200000000	15200000000	-112.386184	505.869051	-0.307776	0.740902	40.581595	0.111939	-0.288084	117.909706
2021-05-22	08:32:58	0	15300000000	15300000000	-112.386153	509.150704	-0.241583	0.738721	40.581577	0.100468	-0.207724	118.405712
2021-05-22	08:32:58	0	15400000000	15400000000	-112.386122	512.442979	-0.179661	0.745985	40.581559	0.089034	-0.129152	118.701717
2021-05-22	08:32:58	0	15500000000	15500000000	-112.386090	515.741847	-0.113239	0.727249	40.581541	0.079589	-0.070584	118.805715
2021-05-22	08:32:58	0	15600000000	15600000000	-112.386059	519.046574	-0.071265	0.633971	40.581523	0.075791	-0.039100	119.105710
2021-05-22	08:32:58	0	15700000000	15700000000	-112.386028	522.358961	-0.033676	0.510659	40.581505	0.073254	-0.029339	119.403716
2021-05-22	08:32:58	0	15800000000	15800000000	-112.385996	525.678331	0.003263	0.507873	40.581487	0.071393	-0.027803	119.603704
2021-05-22	08:32:58	0	15900000000	15900000000	-112.385965	529.003454	0.038953	0.678349	40.581469	0.072018	-0.005498	119.803707
2021-05-22	08:32:58	0	16000000000	16000000000	-112.385933	532.334421	0.074962	0.845161	40.581451	0.072094	0.056338	120.005708
2021-05-22	08:32:58	0	16100000000	16100000000	-112.385902	535.672290	0.126509	0.829625	40.581432	0.075969	0.132938	120.305716
2021-05-22	08:32:58	0	16200000000	16200000000	-112.385870	539.018022	0.174180	0.697558	40.581414	0.082355	0.187088	120.603709
2021-05-22	08:32:58	0	16300000000	16300000000	-112.385839	542.371323	0.215517	0.616005	40.581395	0.089340	0.215689	120.807714
2021-05-22	08:32:58	0	16400000000	16400000000	-112.385808	545.733629	0.252393	0.618901	40.581376	0.094948	0.236006	121.211707
2021-05-22	08:32:58	0	16500000000	16500000000	-112.385777	549.108737	0.284501	0.645251	40.581357	0.094273	0.253033	121.803704
2021-05-22	08:32:58	0	16600000000	16600000000	-112.385746	552.496546	0.309943	0.655411	40.581338	0.089155	0.269063	122.200698
2021-05-22	08:32:58	0	16700000000	16700000000	-112.385715	555.892104	0.330305	0.643112	40.581318	0.082151	0.297141	122.301700
2021-05-22	08:32:58	0	16800000000	16800000000	-112.385684	559.292364	0.347481	0.629240	40.581298	0.075797	0.334661	122.501701
2021-05-22	08:32:58	0	16900000000	16900000000	-112.385654	562.698263	0.361509	0.634922	40.581277	0.071355	0.352759	122.702696
2021-05-22	08:32:58	0	17000000000	17000000000	-112.385624	566.111053	0.376205	0.648876	40.581257	0.068818	0.342299	123.002691
2021-05-22	08:32:58	0	17100000000	17100000000	-112.385594	569.531708	0.394745	0.654474	40.581236	0.067556	0.333877	123.301705
2021-05-22	08:32:58	0	17200000000	17200000000	-112.385564	572.959632	0.419027	0.650157	40.581214	0.067556	0.361575	123.502688
2021-05-22	08:32:58	0	17300000000	17300000000	-112.385535	576.394368	0.449701	0.635851	40.581193	0.067544	0.428615	123.801701
2021-05-22	08:32:58	0	17400000000	17400000000	-112.385506	579.835904	0.488674	0.623246	40.581171	0.066256	0.497031	124.001702
2021-05-22	08:32:58	0	17500000000	17500000000	-112.385477	583.283192	0.537187	0.623301	40.581148	0.063681	0.532211	124.201703
2021-05-22	08:32:58	0	17600000000	17600000000	-112.385449	586.736312	0.593322	0.614798	40.581126	0.058576	0.566375	124.402687
2021-05-22	08:32:58	0	17700000000	17700000000	-112.385422	590.196045	0.654518	0.586024	40.581102	0.052834	0.644631	124.701701
2021-05-22	08:32:58	0	17800000000	17800000000	-112.385395	593.662306	0.716969	0.567877	40.581079	0.046448	0.737088	124.900694
2021-05-22	08:32:58	0	17900000000	17900000000	-112.385369	597.133526	0.778738	0.574247	40.581055	0.038794	0.800649	125.002691
2021-05-22	08:32:58	0	18000000000	18000000000	-112.385344	600.609695	0.834893	0.577486	40.581030	0.030592	0.852033	125.299690
2021-05-22	08:32:58	0	18100000000	18100000000	-112.385319	604.090457	0.882692	0.560744	40.581005	0.022944	0.910014	125.349698
2021-05-22	08:32:58	0	18200000000	18200000000	-112.385295	607.573226	0.919019	0.538003	40.580980	0.015933	0.946891	125.399696
2021-05-22	08:32:58	0	18300000000	18300000000	-112.385272	611.057645	0.945150	0.527994	40.580954	0.010197	0.936457	125.499690
2021-05-22	08:32:58	0	18400000000	18400000000	-112.385250	614.542755	0.960445	0.533293	40.580927	0.005736	0.895140	125.449693
2021-05-22	08:32:58	0	18500000000	18500000000	-112.385229	618.027037	0.967456	0.541081	40.580900	0.002549	0.866455	125.399696
2021-05-22	08:32:58	0	18600000000	18600000000	-112.385210	621.511257	0.969368	0.543408	40.580873	0.001912	0.866998	125.449693
2021-05-22	08:32:58	0	18700000000	18700000000	-112.385190	624.996603	0.968731	0.541097	40.580845	0.002549	0.880480	125.499690
2021-05-22	08:32:58	0	18800000000	18800000000	-112.385172	628.483006	0.966819	0.529984	40.580817	0.005099	0.909898	125.524690
2021-05-22	08:32:58	0	18900000000	18900000000	-112.385155	631.970153	0.961720	0.513106	40.580788	0.008285	0.965378	125.549688
2021-05-22	08:32:58	0	19000000000	19000000000	-112.385139	635.457993	0.952160	0.509769	40.580759	0.012747	1.004027	125.574687
2021-05-22	08:32:58	0	19100000000	19100000000	-112.385124	638.946596	0.937502	0.525587	40.580730	0.017845	0.961324	125.599685
2021-05-22	08:32:58	0	19200000000	19200000000	-112.385110	642.436224	0.920931	0.543601	40.580700	0.022944	0.842691	125.649682
2021-05-22	08:32:58	0	19300000000	19300000000	-112.385097	645.927323	0.903724	0.558277	40.580671	0.026130	0.725105	125.699691
2021-05-22	08:32:58	0	19400000000	19400000000	-112.385084	649.420464	0.889843	0.572608	40.580641	0.027392	0.676263	125.798704
2021-05-22	08:32:58	0	19500000000	19500000000	-112.385073	652.916272	0.884655	0.569243	40.580610	0.026774	0.717192	125.898699
