"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitude"	"Throttle Position"	"Longitudinal Acceleration"	"GPS Distance"	"GPS Lateral Acceleration"	"Heading"	"Latitude"	"Lateral Acceleration"	"RPM"	"GPS Longitudinal Acceleration"	"GPS Speed"	"Number of Satellites"
2021-05-22	19:25:00	1	12000000000	10993567991	-112.386622	0.000000	0.160000	400.323625	-0.951225	214.600000	40.582836	0.980000	0.000000	0.170068	101.200000	15.000000
2021-05-22	19:25:00	1	12100000000	11093567991	-112.386640	0.000000	0.150000	403.142805	-0.982045	212.700000	40.582814	0.980000	0.000000	0.155896	101.800000	15.000000
2021-05-22	19:25:00	1	12200000000	11193567991	-112.386657	0.000000	0.130000	405.977858	-0.986868	210.700000	40.582792	1.000000	0.000000	0.170068	102.300000	15.000000
2021-05-22	19:25:00	1	12300000000	11293567991	-112.386674	0.000000	0.130000	408.829908	-0.968144	208.800000	40.582770	1.000000	0.000000	0.212585	103.000000	15.000000
2021-05-22	19:25:00	1	12400000000	11393567991	-112.386689	0.000000	0.110000	411.701006	-0.975663	206.900000	40.582747	0.980000	0.000000	0.155896	103.800000	15.000000
2021-05-22	19:25:00	1	12500000000	11493567991	-112.386704	0.000000	0.100000	414.587514	-1.055732	205.000000	40.582722	0.990000	0.000000	0.085034	104.100000	16.000000
2021-05-22	19:25:00	1	12600000000	11593567991	-112.386718	0.000000	0.110000	417.484406	-1.007127	202.800000	40.582699	1.010000	0.000000	0.141723	104.400000	16.000000
2021-05-22	19:25:00	1	12700000000	11693567991	-112.386730	0.000000	0.090000	420.394129	-0.857898	201.100000	40.582674	1.000000	0.000000	0.155896	105.100000	16.000000
2021-05-22	19:25:00	1	12800000000	11793567991	-112.386742	0.000000	0.090000	423.319327	-0.861163	199.500000	40.582649	0.950000	0.000000	0.155896	105.500000	16.000000
2021-05-22	19:25:00	1	12900000000	11893567991	-112.386753	0.000000	0.080000	426.259142	-0.971953	197.800000	40.582624	0.920000	0.000000	0.141723	106.200000	16.000000
2021-05-22	19:25:00	1	13000000000	11993567991	-112.386762	0.000000	0.090000	429.214103	-1.027385	195.800000	40.582599	0.950000	0.000000	0.170068	106.500000	16.000000
2021-05-22	19:25:00	1	13100000000	12093567991	-112.386771	0.000000	0.120000	432.183746	-1.009501	193.900000	40.582573	0.970000	0.000000	0.127551	107.400000	16.000000
2021-05-22	19:25:00	1	13200000000	12193567991	-112.386778	0.000000	0.110000	435.167675	-0.929804	192.000000	40.582546	0.940000	0.000000	0.127551	107.400000	16.000000
2021-05-22	19:25:00	1	13300000000	12293567991	-112.386784	0.000000	0.120000	438.162913	-0.937595	190.400000	40.582520	0.910000	0.000000	0.127551	108.300000	16.000000
2021-05-22	19:25:00	1	13400000000	12393567991	-112.386790	0.000000	0.090000	441.170254	-1.071538	188.500000	40.582493	0.910000	0.000000	0.042517	108.300000	16.000000
2021-05-22	19:25:00	1	13500000000	12493567991	-112.386794	0.000000	0.100000	444.184143	-0.993918	186.400000	40.582466	0.940000	0.000000	0.127551	108.600000	17.000000
2021-05-22	19:25:00	1	13600000000	12593567991	-112.386797	0.000000	0.100000	447.210003	-0.972398	184.800000	40.582439	0.950000	0.000000	0.184240	109.200000	17.000000
2021-05-22	19:25:00	1	13700000000	12693567991	-112.386799	0.000000	0.110000	450.252199	-1.033000	182.800000	40.582411	0.970000	0.000000	0.141723	109.900000	17.000000
2021-05-22	19:25:00	1	13800000000	12793567991	-112.386799	0.000000	0.110000	453.308086	-1.035820	181.000000	40.582384	0.980000	0.000000	0.070862	110.200000	17.000000
2021-05-22	19:25:00	1	13900000000	12893567991	-112.386799	0.000000	0.130000	456.371776	-0.983084	179.000000	40.582356	1.000000	0.000000	0.056689	110.400000	17.000000
2021-05-22	19:25:00	1	14000000000	12993567991	-112.386797	0.000000	0.110000	459.441750	-0.902793	177.400000	40.582329	1.000000	0.000000	0.085034	110.600000	17.000000
2021-05-22	19:25:00	1	14100000000	13093567991	-112.386795	0.000000	0.110000	462.519660	-0.960970	175.700000	40.582301	1.000000	0.000000	0.099206	111.000000	16.000000
2021-05-22	19:25:00	1	14200000000	13193567991	-112.386791	0.000000	0.100000	465.606697	-1.018629	173.900000	40.582273	1.000000	0.000000	0.070862	111.300000	16.000000
2021-05-22	19:25:00	1	14300000000	13293567991	-112.386786	0.000000	0.100000	468.702796	-0.965299	172.000000	40.582245	1.010000	0.000000	0.155896	111.500000	16.000000
2021-05-22	19:25:00	1	14400000000	13393567991	-112.386780	0.000000	0.080000	471.810468	-0.917486	170.400000	40.582218	1.010000	0.000000	0.070862	112.400000	16.000000
2021-05-22	19:25:00	1	14500000000	13493567991	-112.386772	0.000000	0.070000	474.924820	-1.025035	168.700000	40.582190	1.030000	0.000000	-0.099206	112.000000	16.000000
2021-05-22	19:25:00	1	14600000000	13593567991	-112.386764	0.000000	0.060000	478.033814	-1.132807	166.700000	40.582163	1.040000	0.000000	0.014172	111.700000	16.000000
2021-05-22	19:25:00	1	14700000000	13693567991	-112.386754	0.000000	0.040000	481.141156	-1.081407	164.600000	40.582136	1.050000	0.000000	-0.014172	112.100000	16.000000
2021-05-22	19:25:00	1	14800000000	13793567991	-112.386744	0.000000	0.020000	484.247373	-1.076584	162.800000	40.582109	1.070000	0.000000	-0.085034	111.600000	17.000000
