"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Throttle Position"	"Longitude"	"Lateral Acceleration"	"RPM"	"GPS Distance"	"GPS Lateral Acceleration"	"Longitudinal Acceleration"	"Latitude"	"GPS Longitudinal Acceleration"	"GPS Speed"	"Heading"	"Number of Satellites"
2021-05-21	21:47:00	1	10000000000	8994834802	0.000000	-112.384726	-0.040000	0.000000	207.415421	0.053082	0.170000	40.583132	0.184240	107.300000	269.500000	15.000000
2021-05-21	21:47:00	1	10100000000	9094834802	0.000000	-112.384762	-0.040000	0.000000	210.403897	0.000000	0.160000	40.583132	0.155896	107.900000	269.600000	15.000000
2021-05-21	21:47:00	1	10200000000	9194834802	0.000000	-112.384797	-0.050000	0.000000	213.408444	0.000000	0.150000	40.583132	0.170068	108.400000	269.500000	15.000000
2021-05-21	21:47:00	1	10300000000	9294834802	0.000000	-112.384833	-0.050000	0.000000	216.428661	0.080959	0.150000	40.583131	0.141723	109.100000	269.600000	15.000000
2021-05-21	21:47:00	1	10400000000	9394834802	0.000000	-112.384869	-0.050000	0.000000	219.464228	0.081182	0.160000	40.583131	0.170068	109.400000	269.800000	14.000000
2021-05-21	21:47:00	1	10500000000	9494834802	0.000000	-112.384905	-0.070000	0.000000	222.515802	0.081849	0.160000	40.583131	0.198413	110.300000	269.900000	14.000000
2021-05-21	21:47:00	1	10600000000	9594834802	0.000000	-112.384941	-0.060000	0.000000	225.586163	0.054814	0.180000	40.583131	0.155896	110.800000	270.100000	15.000000
2021-05-21	21:47:00	1	10700000000	9694834802	0.000000	-112.384978	-0.050000	0.000000	228.672524	0.000000	0.180000	40.583131	0.170068	111.400000	270.100000	15.000000
2021-05-21	21:47:00	1	10800000000	9794834802	0.000000	-112.385015	-0.040000	0.000000	231.774821	0.000000	0.180000	40.583131	0.141723	112.000000	270.100000	15.000000
2021-05-21	21:47:00	1	10900000000	9894834802	0.000000	-112.385051	-0.020000	0.000000	234.891132	0.000000	0.180000	40.583131	0.113379	112.400000	270.100000	15.000000
2021-05-21	21:47:00	1	11000000000	9994834802	0.000000	-112.385089	-0.010000	0.000000	238.018412	0.000000	0.170000	40.583131	0.085034	112.800000	270.100000	15.000000
2021-05-21	21:47:00	1	11100000000	10094834802	0.000000	-112.385126	0.000000	0.000000	241.154150	0.027951	0.150000	40.583131	0.056689	113.000000	270.100000	15.000000
2021-05-21	21:47:00	1	11200000000	10194834802	0.000000	-112.385163	0.010000	0.000000	244.294766	-0.028000	0.140000	40.583131	0.000000	113.200000	270.200000	15.000000
2021-05-21	21:47:00	1	11300000000	10294834802	0.000000	-112.385200	-0.010000	0.000000	247.435363	-0.055902	0.100000	40.583131	-0.070862	113.000000	270.000000	15.000000
2021-05-21	21:47:00	1	11400000000	10394834802	0.000000	-112.385237	-0.010000	0.000000	250.569862	0.027877	0.070000	40.583131	-0.085034	112.700000	270.000000	16.000000
2021-05-21	21:47:00	1	11500000000	10494834802	0.000000	-112.385274	-0.010000	0.000000	253.695687	0.027803	0.030000	40.583132	-0.113379	112.400000	270.100000	16.000000
2021-05-21	21:47:00	1	11600000000	10594834802	0.000000	-112.385311	-0.030000	0.000000	256.810526	0.000000	-0.020000	40.583132	-0.141723	111.900000	270.100000	16.000000
2021-05-21	21:47:00	1	11700000000	10694834802	0.000000	-112.385348	-0.030000	0.000000	259.911866	0.027555	-0.040000	40.583132	-0.141723	111.400000	270.100000	16.000000
